"Product Name";"Product Description";"Product Unit Price ($) All prices are without discounts";"Product Amount";"Product Running Total ($)";"Total price ($)";"Product Link"
"M3 16mm screws (50pcs)";"Screws (Note, the link does not go automaticly to what I have selected, but I have selected the M3 16mm screws)";"2,27";"1";"2,27";"2,27";"https://nl.aliexpress.com/item/1005006674897468.html?src=google&pdp_npi=4%40dis!EUR!1.41!1.41!!!!!%40!12000037986694166!ppc!!!"
"M3 6mm screws (50pcs)";"Screws to screw the PCB to the case.";"1,9";"1";"1,9";"4,17";"https://nl.aliexpress.com/item/1005006674897468.html?src=google"
"123 Keycaps OEM Profiel PBT Dye Sub Kerst Thema Keycap Voor GMMK Pro";"Keycaps";"32,11";"1";"32,11";"36,28";"https://www.amazon.nl/Keycaps-Profiel-Kerst-Thema-Keycap/dp/B0FLD5J3ZZ"
"Outemu Switches Mechanisch toetsenbord Zwart Sleutelschakeleer voor CIY Sockets SMD 3pin Dunne pinnen Compatibel met MX Switch";"Keyswitches 70pcs";"9,75";"1";"9,75";"46,03";"https://nl.aliexpress.com/item/1005004285423123.html"
"Outemu Switches Mechanisch toetsenbord Zwart Sleutelschakeleer voor CIY Sockets SMD 3pin Dunne pinnen Compatibel met MX Switch";"Keyswitches 10pcs";"2,88";"1";"2,88";"48,91";"https://nl.aliexpress.com/item/1005004285423123.html"
"1N4181 Switching Diode Standard 75V 150MA Through Hole D0-35- 100 pieces";"Diodes 100 pcs";"0,48";"1";"0,48";"49,39";"https://www.aliexpress.com/item/1005007639751096.html"
"Origineel Raspberry Pi Pico Board Rp2040 DIY Wireless Development Board Type-C";"Raspberry Pi Pico";"6,12";"1";"6,12";"55,51";"https://nl.aliexpress.com/item/1005008450989559.html"
"3d printed case";"3d printed case";"I will do this via printing legion";"";"";"55,51";""
"stabilitsatoren MX Cherry switches";"Stabilisatoren for the wide keys.";"5,98";"1";"5,98";"61,49";"https://nl.aliexpress.com/item/1005001831944910.html"
"SK6812 mini LED's";"SK6812 mini LED's (50pcs)";"1,01";"1";"1,01";"62,5";"https://nl.aliexpress.com/item/1005005838997862.html"
"PCB";"PCB";"46,92";"1";"46,92";"109,42";""
